,OTS:RKNEE:theta,OTS:RHIP:pos-X,OTS:RHIP:pos-Y,OTS:RHIP:pos-Z,OTS:RKNEE:pos-X,OTS:RKNEE:pos-Y,OTS:RKNEE:pos-Z,OTS:RANKLE:pos-X,OTS:RANKLE:pos-Y,OTS:RANKLE:pos-Z
32,100.31860192205879,-146.0264585,10.408569499999999,-1.5258789999998044,-136.58529650000014,-151.34875499999998,318.7692870000001,-122.02404750000005,-527.5457074999999,350.1469725000002
33,100.32037283463909,-146.02789299999995,10.382262999999966,-1.5637209999999868,-136.33615099999975,-151.31301900000005,318.69604449999997,-121.932953,-527.514473,350.0986324999999
34,100.33313639729286,-146.02966300000003,10.34713750000003,-1.6301269999999022,-136.26593049999997,-151.25128200000006,318.56457550000005,-121.81286599999999,-527.447144,350.0147710000001
35,100.33780252216243,-146.03030400000011,10.329834000000005,-1.6840820000002168,-136.03006000000005,-151.2679445,318.4854734999999,-121.74255399999993,-527.4694135,349.95898449999913
36,100.35373372968382,-146.03137199999992,10.311981500000002,-1.703125,-135.81579549999992,-151.2507015,318.41516150000007,-121.6966245000001,-527.4596554999999,349.883057
37,100.35044813784265,-146.03259300000002,10.294037000000003,-1.7016600000001745,-135.31713849999994,-151.306824,318.3824460000001,-121.65048200000012,-527.537552,349.8085934999999
38,100.3672715496435,-146.03021250000006,10.329285000000027,-1.6947024999999485,-135.36035149999998,-151.24822949999998,318.31982449999987,-121.6093135000001,-527.476997,349.7286379999996
39,100.38573912786892,-146.0285335000001,10.350860499999953,-1.7109375,-135.2090760000001,-151.27194200000008,318.25073199999997,-121.5862125000001,-527.5055010000001,349.678711
40,100.40003557537887,-146.02835099999993,10.349609499999929,-1.7298580000001493,-135.01351950000003,-151.34509249999996,318.1667480000001,-121.51818849999995,-527.5861435,349.5831294999998
41,100.41600370155776,-146.0279845,10.34948750000001,-1.765625,-134.8359680000001,-151.39489700000001,318.0771485,-121.4186400000001,-527.6407545,349.4879145
42,100.4311039729087,-146.02572650000002,10.386505000000056,-1.728027000000111,-134.53692650000016,-151.49298099999987,318.0122070000002,-121.36682150000001,-527.7583615,349.31311000000005
43,100.45611223389683,-146.02554350000003,10.38708500000007,-1.7448730000000978,-134.4912109999999,-151.50463849999994,317.8531489999996,-121.24600199999998,-527.7677454999999,349.1684564999996
44,100.47061851380163,-146.02194200000008,10.43615699999998,-1.750122000000374,-134.31863399999997,-151.54794300000003,317.6879879999997,-121.1758420000001,-527.8188325,348.98474099999976
45,100.49151583128196,-146.01928750000002,10.473510499999975,-1.7530515000003106,-134.155029,-151.58041400000002,317.5467529999996,-121.07592799999998,-527.8597185,348.78686500000003
46,100.508909863269,-146.01919550000002,10.47222899999997,-1.7673339999996642,-134.03231749999986,-151.63351450000005,317.38989200000015,-121.02307099999985,-527.9178235,348.62597650000043
47,100.53428799629872,-146.01983649999988,10.461273000000006,-1.773682000000008,-133.91763300000002,-151.6362305,317.2082519999999,-120.92486600000007,-527.9221265,348.45275900000024
48,100.54416110363915,-146.0150145,10.518615999999952,-1.8333739999998215,-133.82598899999994,-151.70788549999997,317.024414,-120.81616250000002,-527.997375,348.2506105000002
49,100.55862149525285,-146.01461749999999,10.521484499999929,-1.8482665000001361,-133.67333949999988,-151.7443545000001,316.84619150000026,-120.74771099999998,-528.0447310000001,347.988159
50,100.5892193788461,-146.01583849999997,10.502837999999997,-1.8591310000001613,-133.5473024999999,-151.76538100000005,316.6274414999998,-120.66714499999989,-528.0725480000001,347.72424349999983
51,100.61070175997985,-146.01544200000012,10.50338750000003,-1.8837889999999788,-133.39828450000005,-151.78479049999987,316.32409700000017,-120.5775145,-528.0967334999999,347.4257815000001
52,100.6211303369676,-146.01382450000006,10.524445000000014,-1.8947754999999233,-133.29040499999996,-151.79562350000003,316.0952145000001,-120.53665100000012,-528.1138075,347.17504850000023
53,100.62840384631147,-146.01065099999994,10.566680499999961,-1.9030765000002248,-133.21820050000008,-151.83987449999995,315.921875,-120.51162699999998,-528.1693190000001,346.8970949999998
54,100.65112121757674,-146.00866700000006,10.602752499999951,-1.8529054999999062,-133.17333999999983,-151.85354600000005,315.7287600000004,-120.51004049999983,-528.1955869999999,346.5775150000004
55,100.70343629602903,-146.00384499999996,10.676879500000041,-1.8099365000002763,-133.12103249999973,-151.88656650000007,315.48522950000006,-120.44897449999985,-528.2383805,346.2401119999995
