,gast:RKNEE:theta,gast:RHIP:pos-X,gast:RHIP:pos-Y,gast:RHIP:pos-Z,gast:RKNEE:pos-X,gast:RKNEE:pos-Y,gast:RKNEE:pos-Z,gast:RANKLE:pos-X,gast:RANKLE:pos-Y,gast:RANKLE:pos-Z
307,172.4436357694585,94.53052773535241,86.60401427369396,860.1079155388164,25.850495317746674,-5.9354464343172095,459.49767665874333,11.051368444564078,-106.0435359121662,33.23803673239658
308,172.66111105108268,93.95983205728245,86.45938538078974,860.0346819881079,26.685144530724624,-6.944929197220859,459.50440698384983,11.626382087825375,-105.35509660958266,33.219886530388536
309,172.768069526545,93.64854219132133,86.52668504299409,860.0617125129322,27.196231192986225,-7.884899989175498,459.52274257443645,12.37426314944159,-104.25871240028405,33.60956905186496
310,172.95101485826603,93.72237572879625,86.40950274864736,860.255165376698,27.764724720957073,-8.582086812877858,459.8359721014513,12.137363753966108,-105.5387616757319,35.00192747331829
311,173.2197796557427,93.88902654802065,86.10770251565751,860.4898407510796,28.60798170989469,-9.265940086568156,460.2400295546454,11.437678481079123,-108.50021343371482,35.97818108450875
312,173.39785955935145,93.97015833525924,85.84651962482326,860.5014482811038,29.176973509206135,-10.768097200430486,460.28127364208945,11.127445765953208,-111.37055443998447,35.557580290736425
313,173.41965209755563,93.9885881260004,85.77679485176289,860.2239586661003,28.97619432148105,-13.10121596451308,459.6545642777011,10.941648073433578,-114.34729490302365,34.87708967688983
314,173.38609578793248,93.90247605623804,86.02125168654514,859.8816877367586,28.39209239526981,-14.65860097510677,458.54000076116876,10.418583631149389,-118.33269698912794,35.020287775990866
315,173.32609721295523,93.65478673614626,86.62674166428226,859.7124023981183,28.029837116289222,-14.105888222559491,457.51231696987435,10.092539744570464,-122.62248575107208,35.144099454500605
316,173.1476276588594,93.39271798070148,87.32180905311074,859.7611496019414,27.83628046204501,-12.206781127476441,456.8294365349662,10.75731118653581,-125.39456138146664,34.204106706435766
317,172.86865813620602,93.31531411103602,87.71163685441843,859.9598445617468,27.624713596808476,-10.484106277049355,455.97315635865533,12.271365997556957,-125.75765910501188,32.76386175152043
318,172.6710332175097,93.36544881739296,87.83038417167865,860.2374870351441,27.810078639737778,-9.100594569450243,454.4146951396915,13.824024592933787,-124.80345271135035,31.75687708501711
319,172.6405213031029,93.30941358671991,88.0959693245873,860.5330241603441,28.722850405346325,-7.443263528144751,452.65412166081103,14.91030520191079,-124.69818810757062,31.037821791089964
320,172.62902041621706,93.05247268162897,88.63153262589947,860.8416882836888,29.75795036507422,-5.64184507432603,451.68282642708306,15.655992999784154,-126.18099272600293,30.252621424231844
321,172.46514877278554,92.71948788453362,89.0832517638791,861.2369122181053,30.134027659020678,-4.002054683326214,451.45384922419754,16.556683074129044,-127.19049712208432,29.657611231496155
322,172.16483950615893,92.53499309841294,89.20697544524491,861.7066112706341,29.994210659460894,-2.1219791014945373,450.9392779836603,17.964504935283802,-125.48468013124135,29.273412373071448
323,171.8528917591691,92.71916849519826,89.15287890644593,862.0325266028976,29.86361811348818,-0.07133706229902029,449.90666261079133,19.502633342576825,-122.27885192402037,28.682290492432195
324,171.59200973292252,93.31264100618385,89.04477994874348,862.0342463362628,29.592114783349107,0.862040913063841,449.42621521615905,20.31214532404564,-120.81593540398563,28.114548146720523
