,OTS:KNEE:theta,OTS:HIP:pos-X,OTS:HIP:pos-Y,OTS:HIP:pos-Z,OTS:KNEE:pos-X,OTS:KNEE:pos-Y,OTS:KNEE:pos-Z,OTS:ANKLE:pos-X,OTS:ANKLE:pos-Y,OTS:ANKLE:pos-Z,vibe:KNEE:theta,vibe:HIP:pos-X,vibe:HIP:pos-Y,vibe:HIP:pos-Z,vibe:KNEE:pos-X,vibe:KNEE:pos-Y,vibe:KNEE:pos-Z,vibe:ANKLE:pos-X,vibe:ANKLE:pos-Y,vibe:ANKLE:pos-Z
1426,99.89375715387048,-146.1053159999999,8.017181499999992,-4.832397499999843,-132.56582649999996,-154.7469635,321.5107425000001,-129.6644899999999,-531.405838,349.9353029999997,98.95578306508332,-144.91551804298234,5.12443648593063,17.21659923055738,-168.85894860806536,-137.45343710164582,56.868550208453996,-136.49059190396093,-539.2909194376839,338.39268799291597
1427,99.89573211954853,-146.10647600000004,8.007690000000025,-4.811523500000021,-132.59118699999988,-154.76332100000002,321.5139159999999,-129.6881105000001,-531.42273,349.9322509999997,99.94992615126881,-146.41402463349033,5.251130649985811,17.8519240883169,-175.60324608642276,-138.76127539211384,57.47178056693548,-147.3504569898617,-545.8703782605296,345.7822872066108
1428,99.90654787044684,-146.10729950000007,7.988769499999989,-4.819702000000234,-132.58160400000008,-154.74838250000005,321.48779250000007,-129.67126450000012,-531.4058225,349.9357904999997,99.32564490512533,-146.67108043980335,5.406653659347995,17.756924196045635,-173.44085794535567,-135.35798871069102,56.31917659190668,-148.81600870823712,-542.8373818295339,346.36700958725294
1429,99.8933391812226,-146.10610999999994,7.930358500000011,-4.950561999999991,-132.58218399999987,-154.68562350000002,321.38403349999953,-129.61499000000003,-531.330933,349.9985354999999,97.87973203145872,-145.29322151142122,5.5680251837744095,16.842941860041435,-162.14025797892538,-132.16774630865945,53.50186145694079,-137.34659868860535,-534.0597915887519,339.68581632663665
1430,99.903105686952,-146.10739149999995,7.978821000000039,-4.834595000000263,-132.619232,-154.71137999999996,321.4382324999997,-129.65521249999983,-531.3671334999999,349.89709500000026,97.75791470267036,-144.12689214555172,5.218157360847016,15.98383317976538,-155.20567445335053,-134.8478744221158,51.87791476509284,-127.38261413082995,-532.7039663969208,335.777939134038
1431,99.8972468714252,-146.10650650000002,7.9079285000000255,-4.973388500000056,-132.57260150000002,-154.66882299999995,321.36804200000006,-129.61309849999998,-531.313438,349.988159,99.19900358890514,-144.2638848098531,4.092049227787101,15.067094730706224,-154.4121059443485,-142.45484335391325,52.875970008700506,-124.81949321514372,-539.3968924933515,337.41266880302146
1432,99.89860181954674,-146.10812350000003,7.886138999999957,-4.96179200000006,-132.60348499999998,-154.66961700000002,321.38867200000004,-129.6283259999999,-531.3147585,349.99267550000013,100.10806408158375,-144.48672032786405,3.0798988277567787,13.153364120707266,-146.5324576817404,-149.21547600402647,54.373440078914484,-118.51132227858287,-541.4386679489627,334.6126563286016
1433,99.89624215890848,-146.1084289999999,7.886901500000022,-4.951660000000175,-132.61733949999984,-154.68266299999993,321.4016109999993,-129.64599550000003,-531.3280484999999,350.0036619999996,99.02596674084435,-143.85284873415748,3.475532180009452,11.068940457685947,-132.3779734320334,-150.69463696091188,54.81850313504481,-107.29969846598769,-534.5357126385611,321.8935953193111
1434,99.89689170270518,-146.1080935,7.8795165000000225,-4.972777999999835,-132.62026949999995,-154.68644700000004,321.3961180000001,-129.62219200000004,-531.331749,349.99377449999974,96.93336299357766,-143.56111290542083,5.267478719000707,11.194927861347123,-131.94532985557333,-146.75110614834585,56.01794658667956,-109.00705244263168,-528.9381083710192,308.64984850732174
1435,99.8913868866332,-146.10794099999998,7.873565499999927,-4.988158999999996,-132.604736,-154.6885680000001,321.39392099999986,-129.60867300000018,-531.3334275000001,349.9985354999999,95.68585878586325,-144.59222599451778,6.933639497249374,13.621055265616421,-149.3362046490144,-140.89132993062628,58.994659336831376,-127.96407453073556,-530.6089026464645,305.64663643732024
