,gast:KNEE:theta,gast:HIP:pos-X,gast:HIP:pos-Y,gast:HIP:pos-Z,gast:KNEE:pos-X,gast:KNEE:pos-Y,gast:KNEE:pos-Z,gast:ANKLE:pos-X,gast:ANKLE:pos-Y,gast:ANKLE:pos-Z
0,101.78548890837884,79.55921,106.18184,853.3072,-237.01524,297.32376,824.3111,-238.1392,391.84607,449.39105
1,101.97971899780649,80.668304,106.351974,852.7701,-240.69583,295.65018,826.3666,-238.78485,404.58994,459.64896
2,100.6519985250477,81.1896,106.752975,852.86945,-244.40675,293.63348,826.83435,-243.92822,383.55112,461.7758
3,101.14185969232102,80.92624,107.09324,852.85046,-247.37665,289.63055,825.48755,-248.47365,383.30917,459.98413
4,100.68969433907701,81.776024,106.48976,853.52716,-248.79227,284.38638,825.16315,-247.4172,375.86804,462.81015
5,100.90703778865598,82.12362,106.379135,853.07947,-248.66176,286.00375,824.93506,-245.05472,385.11365,463.1711
6,100.91277514755879,81.09432,106.95888,854.0556,-250.79733,281.2964,824.4642,-248.02673,377.88455,463.5597
7,101.19922645115996,80.71788,106.86331,854.42786,-251.56712,283.29443,824.18256,-249.92079,379.84695,462.871
8,101.2339306423328,81.46448,106.55565,855.1115,-250.74869,284.76422,825.02014,-249.55011,380.15375,465.15308
9,101.60173632913798,80.962746,106.99278,855.4242,-253.14766,283.03235,823.9371,-253.635,379.663,461.5276
10,101.66932105097526,81.238396,107.109795,855.9191,-253.58044,281.5855,824.0719,-253.46672,380.59976,461.954
11,101.72936524396884,81.16949,107.47614,855.4062,-255.08392,280.17783,824.69275,-257.21146,379.76868,460.72156
12,101.1965080358703,81.67288,107.13369,855.6988,-254.70811,279.90863,827.1782,-256.72586,376.09613,464.24182
13,100.67177875288407,82.20391,106.96813,855.556,-255.73515,282.493,828.0333,-262.2941,363.26096,462.92603
14,100.61726018292903,82.9971,106.2612,855.25336,-251.21283,286.5383,829.35394,-256.28845,370.0655,465.5988
15,100.6400456940002,83.308685,106.204834,856.0203,-251.12492,288.72406,828.7517,-258.5721,365.06763,461.99698
16,100.20811136107775,83.954666,105.161446,856.6999,-251.33414,288.20306,827.3538,-260.1398,352.09164,457.2628
17,99.98911500571963,85.769264,103.801025,856.11786,-244.64789,297.00928,827.17816,-262.5438,340.34464,452.8492
18,100.15922769718797,85.79015,103.41777,856.1642,-244.1036,295.39053,825.46094,-261.9203,338.32516,447.3784
19,99.78933880268593,84.47239,104.43637,856.11084,-244.16783,299.68417,829.20654,-259.83658,348.35938,452.01025
20,99.6555763779804,83.50284,105.480774,855.64575,-245.52226,301.09766,828.5727,-263.45456,343.97528,450.3275
21,99.13407094428241,85.68579,103.76663,855.0383,-240.16583,304.75534,830.0152,-259.88193,341.4221,449.44363
22,99.40433469955065,86.82382,103.097946,853.73566,-237.34146,305.0242,829.1665,-255.59663,347.6732,451.12198
23,99.36211047010163,86.39068,103.5053,853.9011,-238.1881,303.78915,827.674,-249.34924,354.48575,450.75436
24,98.93648040178311,87.520195,102.81535,852.866,-237.79651,301.06207,828.30316,-246.18724,355.46414,445.99356
25,98.49296206802833,88.04244,102.00491,852.564,-234.60126,306.1238,830.8481,-239.00777,366.10925,445.28525
26,98.55179731753883,88.37072,101.667625,852.02313,-233.69711,303.0366,828.374,-244.54283,351.50934,431.36768
27,98.04685509257813,88.17222,101.78946,850.9988,-230.44562,309.25195,831.5385,-245.96587,350.98877,433.34808
28,98.05574116868831,86.53008,102.85058,850.315,-230.4424,311.26657,831.41034,-247.31451,351.6391,434.16678
29,96.91350814321957,84.38364,103.93853,850.0486,-232.71645,309.39566,830.2567,-244.76611,340.5273,435.99515
